,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
25,TA,TRSDGA07,Kumbo,35003,No,INEC,3/16/2019,1554e20b-008c-43d8-ac0f-106f7febb469,NIE TRS DGA,85,Kumbo,0.114671235,Rural,Rural,Rural,Rural,61,Kumbo,74,61,Kumbo,14755
103,TA,TRSLAU07,Kunini,35010,No,INEC,3/16/2019,c8c6c8a3-b2a3-40b4-8918-e3968fd3afee,NIE TRS LAU,86,Kunini,0,Rural,Rural,Rural,Rural,161,Kunini,156,161,Kunini,16916
15,TA,TRSBAL08,Kussum/Badakoshi,35002,No,INEC,3/16/2019,5c88f01b-16eb-4493-bfc0-aaf1af2b8165,NIE TRS BAL,87,Kussum/Badakoshi,0,Rural,Rural,Rural,Rural,48,Kussum/Badakoshi,63,48,Kussum Badakoshi,38616
134,TA,TRSUSS06,Kwambai,35013,No,INEC,3/16/2019,5938cb20-d301-441d-a884-b586e02047cf,NIE TRS USS,88,Kwambai,0,Rural,Rural,Rural,Rural,9,Kwambai,19.5,9,Kwambai,20932
74,TA,TRSKLD08,Kwanchi,35008,No,INEC,3/16/2019,85319737-5471-4c68-963f-f7cf9d083ea5,NIE TRS KLD,89,Kwanchi,0,Rural,Rural,Rural,Rural,125,Kwanchi,121,125,Kwanchi,34819
137,TA,TRSUSS07,Kwesati,35013,No,INEC,3/16/2019,c72b83fc-a012-48f5-bede-30ea36ad73db,NIE TRS USS,90,Kwesati,0,Rural,Rural,Rural,Rural,35,Kwesati,48.5,35,Kwesati,12684
1,TA,TRSARD06,Lamido Borno,35001,No,INEC,3/16/2019,df6f2167-46b1-46e9-ab0c-b39b32864884,NIE TRS ARD,91,Lamido Borno,0.578903633,Rural,Rural,Rural,Rural,71,Lamido Borno,78.5,71,Lamido Borno,14418
164,TA,TRSTZG06,Lamma,35016,No,INEC,3/16/2019,51f68f66-da9d-4989-8371-0d220645fce6,NIE TRS TZG,92,Lamma,0,Rural,Rural,Rural,Rural,145,Lamma,137.5,145,Lama,15822
148,TA,TRSYRR05,Lankaviri,35015,No,INEC,3/16/2019,b0250c1e-c491-4f48-85fb-c2f44a958784,NIE TRS YRR,93,Lankaviri,0,Rural,Rural,Rural,Rural,18,Lankaviri,26.5,18,Lankaviri,14161
95,TA,TRSLAU08,Lau,35010,No,INEC,3/16/2019,410aaa92-336c-4e1a-8614-143908f26422,NIE TRS LAU,94,Lau,0.459146791,Rural,Rural,Rural,Rural,133,Lau,128,133,Lau,17424
128,TA,TRSUSS08,Lissam 1,35013,No,INEC,3/16/2019,64fc88fc-44b8-4465-86d6-c36ea098fb2b,NIE TRS USS,95,Lissam 1,0,Rural,Rural,Rural,Rural,17,Lissam 1,26,17,Lissam I,11261
133,TA,TRSUSS09,Lissam 2,35013,No,INEC,3/16/2019,a3e638b7-6ea3-4b2e-b01e-bf152d8305fd,NIE TRS USS,96,Lissam 2,0,Rural,Rural,Rural,Rural,15,Lissam 2,25,15,Lissam Ii,8614
131,TA,TRSUSS10,Lumbu,35013,No,INEC,3/16/2019,5630e8d0-ea18-44e2-bb2c-a44a0a32ede7,NIE TRS USS,97,Lumbu,0,Rural,Rural,Rural,Rural,30,Lumbu,39,30,Lumbu,15687
107,TA,TRSSDA05,Magu,35011,No,INEC,3/16/2019,7bcb45b0-d20a-4d8c-9898-705cb5dabe5f,NIE TRS SDA,98,Magu,0,Rural,Rural,Rural,Rural,121,Magu,118,121,Magu,26860
41,TA,TRSGKA07,Mai Idanu,35004,No,INEC,3/16/2019,dde122ab-c4d5-49b7-a0cf-211b99167e49,NIE TRS GKA,99,Mai Idanu,0,Rural,Rural,Rural,Rural,127,Mai Idanu,123,127,Maidanu,10193
21,TA,TRSBAL09,Maihula,35002,No,INEC,3/16/2019,b9a31020-a0be-42d7-be01-8de7bdf58090,NIE TRS BAL,100,Maihula,0.101402408,Rural,Rural,Rural,Rural,41,Maihula,54.5,41,Maihula,55496
71,TA,TRSJAL04,Majidadi,35007,No,INEC,3/16/2019,d78c4a62-c875-4bdf-8ecb-5b9540db2070,NIE TRS JAL,101,Majidadi,67.07788827,Urban,Urban,Urban,Rural,33,Majidadi,44,33,Majindadi,22851
4,TA,TRSARD07,Mallum,35001,No,INEC,3/16/2019,41945981-87a0-4c24-b21b-9db0cc1cdbb7,NIE TRS ARD,102,Mallum,0,Rural,Rural,Rural,Rural,26,Mallum,35.5,26,Bakin Dutse,21427
150,TA,TRSYRR06,Mannang,35015,No,INEC,3/16/2019,41478a04-2623-420f-9574-d40b94192127,NIE TRS YRR,103,Mannang,0,Rural,Rural,Rural,Rural,108,Mannang,105,108,Pupule,14451
120,TA,TRSTTM07,Manya,35012,No,INEC,3/16/2019,29065876-a9d7-435d-8ed6-c660ec77e662,NIE TRS TTM,104,Manya,0,Rural,Rural,Rural,Rural,46,Manya,59,46,Manya,24340
30,TA,TRSDGA08,Mararaba,35003,No,INEC,3/16/2019,5d403b21-898e-40fa-8496-7820c064624e,NIE TRS DGA,105,Mararaba,0.421527064,Rural,Rural,Rural,Rural,120,Mararaba,116.5,120,Mararaba,29618
6,TA,TRSARD08,Mayo Renewo,35001,No,INEC,3/16/2019,71e43c2d-2735-43aa-97ad-d4fa0aaa5e5d,NIE TRS ARD,106,Mayo Renewo,0,Rural,Rural,Rural,Rural,132,Mayo Renewo,127,132,Mayo Renewo,22002
36,TA,TRSGKA08,Mayo Selbe,35004,No,INEC,3/16/2019,ff33a1bd-5622-469e-b261-bc3a47a92139,NIE TRS GKA,107,Mayo Selbe,0,Rural,Rural,Rural,Rural,65,Mayo Selbe,74.5,65,Mayo Selbe,14057
97,TA,TRSLAU09,Mayo-Lope,35010,No,INEC,3/16/2019,b7ec8702-38df-4f7e-8cc3-c4f75fb03a31,NIE TRS LAU,108,Mayo-Lope,0,Rural,Rural,Rural,Rural,154,Mayo-Lope,147.5,154,Mayo-Lope,17229
115,TA,TRSSDA06,Mayo-Ndaga,35011,No,INEC,3/16/2019,9daa46ed-84ae-4479-9ae7-af49ab293a20,NIE TRS SDA,109,Mayo-Ndaga,0,Rural,Rural,Rural,Rural,111,Mayo-Ndaga,107,111,Mayo-Ndaga,47284
